Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
203,Guga,brBRA,DF,Fluminense,26,1998,11.0,30,19,15,15,0,16,28,57.1,12,20,4,16,7,37,20,1,Matches
204,Gustavo Gómez,pyPAR,DF,Palmeiras,31,1993,25.7,50,27,30,17,3,28,42,66.7,14,35,24,11,35,85,142,1,Matches
205,Fredi Gomes,brBRA,DF,Bahia,18,2006,1.0,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,2,1,Matches
206,Johnny Góes,brBRA,DF,Flamengo,17,2007,1.0,3,0,3,0,0,2,2,100.0,0,1,0,1,2,5,5,0,Matches
207,Leonardo Godoy,arARG,DF,Santos,29,1995,4.6,4,4,1,2,1,3,8,37.5,5,6,1,5,1,5,17,0,Matches
208,Gilberto,brBRA,DF,Bahia,31,1993,19.7,49,35,29,15,5,32,48,66.7,16,15,8,7,20,69,62,2,Matches
209,Gil,brBRA,DF,Santos,37,1987,8.0,17,9,15,1,1,10,15,66.7,5,6,3,3,7,24,30,0,Matches
210,Agustín Giay,arARG,DF,Palmeiras,21,2004,22.0,59,43,31,22,6,32,55,58.2,23,25,8,17,14,73,52,2,Matches
211,Lucas Gazal,brBRA,DF,Fortaleza,25,1999,6.1,6,5,6,0,0,3,8,37.5,5,10,5,5,8,14,46,0,Matches
212,Mateo Gamarra,pyPAR,DF,Cruzeiro,24,2000,1.7,6,5,5,1,0,5,6,83.3,1,1,1,0,4,10,18,0,Matches
213,Victor Gabriel,brBRA,DF,Internacional,20,2004,12.3,24,20,14,10,0,13,17,76.5,4,18,12,6,18,42,95,1,Matches
214,Gabriel,brBRA,DF,Bahia,23,2001,10.5,17,12,14,3,0,7,10,70.0,3,14,9,5,12,29,62,1,Matches
215,Gabriel Fuentes,coCOL,DF,Fluminense,27,1997,9.2,19,12,10,7,2,5,9,55.6,4,6,3,3,11,30,29,0,Matches
216,Adonis Frías,arARG,DF,Santos,26,1998,12.4,15,10,13,1,1,9,14,64.3,5,14,8,6,17,32,45,1,Matches
